date,ecb_deposit_rate_pct,euro_10y_pct,euro_inflation_pct,eurostoxx50,sp500,credit_spread_ig_pct,eurusd
2015-01-31,0.5017279209603239,1.6409325667513561,2.000197614452667,3040.4803060968234,2369.3759770572797,0.9987969566377781,1.1000361867880548
2015-02-28,0.5058360116778298,1.7475184376898538,1.9933923174611416,3087.778038460031,2197.372519388545,0.9881902148636155,1.1014043584866562
2015-03-31,0.5074881970587467,1.6810082082247104,1.9935322887823874,2982.951730122763,2098.7593520920805,0.989105452916505,1.1031812931379166
2015-04-30,0.5009724109007249,1.5742717453529842,1.993257973192295,3097.527148424836,2065.845198711701,0.9853680059619635,1.1024866997803666
2015-05-31,0.5054991902340904,1.657525251572607,1.997751672136586,2921.6386780748103,2032.5072324482367,0.9749395676215001,1.101306415868517
2015-06-30,0.5077310630959105,1.565171113320723,1.9931777203775194,2863.697975773418,2096.1122840130574,0.9754430785711673,1.0995225703903215
2015-07-31,0.5050462969191091,1.7060235447995715,1.9900481877593112,2816.776690785883,2133.3003655201915,0.9845301053389293,1.1008112935590462
2015-08-31,0.5079518874400908,1.5393719533052452,1.9917140961828164,3082.78728577525,2041.9031847114363,0.9850745630056901,1.1006752993281592
2015-09-30,0.5097747494210212,1.5458405940267346,1.9794262782317873,2876.3537288019656,2102.5379057190526,0.9908835204246018,1.0999778224141556
2015-10-31,0.5112454119042988,1.9297896842000872,1.99492648972636,2963.560060908445,2274.8687534305077,0.9905259984137572,1.09987638240752
2015-11-30,0.5113875231108779,1.7034098900650767,1.9914332360740514,3104.0196125191537,2399.7184897292123,0.9797380442729468,1.0972674739349106
2015-12-31,0.5141210880439401,1.7060357842231337,1.9877840608104236,3172.3007507335824,2511.6516738578975,0.9821904617260668,1.0954908409092265
2016-01-31,0.5104388176089317,1.7871692805965744,1.992089698364942,3356.8695147965323,2531.2604326927303,0.9800990651920057,1.0963746431960992
2016-02-29,0.5096242678689664,1.6464957174866357,1.9918905391577637,3222.1811815741626,2648.5723449063034,0.9727886405536413,1.0967186757499512
2016-03-31,0.5072136713055666,1.6729333661838428,1.9829933960642456,2907.6588013948513,2564.7574445815376,0.976712823923257,1.0968167552430435
2016-04-30,0.5102079023687397,1.773980212668526,1.9861280329647089,3022.5311106787385,2659.7575619433396,0.978147111750526,1.0957630683326192
2016-05-31,0.510406512906148,1.7527688892428084,1.9904049221347049,2874.9945138486423,2669.093479137639,0.9755200635469352,1.0962984133814913
2016-06-30,0.5089442291513225,1.5350497201114581,1.9881551907673252,2847.141582970316,2808.5168544407884,0.9798604106739457,1.0980243187070253
2016-07-31,0.5050346868395383,1.8300360763399874,1.986747188975865,2710.341925221788,2880.528411924072,0.9755000508349805,1.0967470504710561
