instrument_id,asset_class,instrument_type,market_value,face_value,coupon,yield,maturity_years,macaulay_duration,modified_duration,convexity,dv01,spread_duration,rating,currency,liquidity_score
I001,Cash / Money Market,Cash,92.0,92.0,0.0,0.025,0.25,0.2,0.2,0.0,0.0018400000000000003,0.0,AA,EUR,1.0
I002,French Government Bonds,Bond,6.777505890410724,6.789305575262294,0.03077574224381753,0.031,9.468534807872333,7.9957339562932965,7.755319065269929,72.18224415428105,0.005256172064688153,0.0,AA,EUR,0.95
I003,French Government Bonds,Bond,15.890675905845892,16.95388379363121,0.02361070080410356,0.031,9.769705547636125,8.984196770997231,8.714060883605462,89.60833454756529,0.01384723173251835,0.0,AA,EUR,0.95
I004,French Government Bonds,Bond,33.133168315377965,33.251187254133185,0.03061427135937752,0.031,11.163132916989184,9.500339897160877,9.21468467231899,101.8608569155798,0.030531169822107854,0.0,AA,EUR,0.95
I005,French Government Bonds,Bond,1.3519161131666206,1.3582128743405388,0.03045373466409269,0.031,9.656643370566048,8.766234740169267,8.50265251228833,86.63090776107451,0.001149487293601924,0.0,AA,EUR,0.95
I006,French Government Bonds,Bond,3.4415388893594434,3.3975444845802576,0.03285244063439035,0.031,7.85553243597275,7.1702198516495175,6.954626432249775,58.43813022507304,0.002393461732755472,0.0,AA,EUR,0.95
I007,French Government Bonds,Bond,111.90519488583935,112.679908698694,0.030189880517226195,0.031,9.901672996801192,8.774166425705502,8.510345708734727,86.73925696707103,0.09523518950818262,0.0,AA,EUR,0.95
I008,Euro Government Bonds,Bond,65.61476534491254,66.60232682235963,0.028743785344218564,0.032,4.735420996799352,4.725914245868555,4.579374269252476,26.117594169653746,0.03004745681035316,0.0,AA-,EUR,0.9
I009,Euro Government Bonds,Bond,38.6791738216901,39.85543111232919,0.027227190090270956,0.032,7.20508414988233,6.457714987659613,6.257475763236059,47.18490624049051,0.024203399273122046,0.0,AA-,EUR,0.9
I010,Euro Government Bonds,Bond,29.758584355216797,29.738738311224825,0.03214655130777922,0.032,5.4628113970928425,4.6982138249940855,4.55253277615706,25.910331988049034,0.013547693064915916,0.0,AA-,EUR,0.9
I011,Euro Government Bonds,Bond,11.768897442835748,11.862302119245058,0.031067471688158172,0.032,9.525323736437171,8.741562174752401,8.470505983287211,86.13209058953373,0.009968851620623376,0.0,AA-,EUR,0.9
